claim_id,claim,evidence,evidence_label,label,category,predicted_label_raw,predicted_label,accuracy,macro_f1,macro_precision,macro_recall,model_name,runtime_seconds,sample_size
484,"“We almost take forests as a given but we lose forest every year, which means we are diminishing them as a carbon sink.",A large and persistent carbon sink in the world's forests.,NOT_ENOUGH_INFO,neutral,Reducing emissions from deforestation and forest degradation,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
990,many of south Florida’s drainage systems and seawalls are no longer enough,"A seawall (or sea wall) is a form of coastal defense constructed where the sea, and associated coastal processes, impact directly upon the landforms of the coast.",NOT_ENOUGH_INFO,neutral,Seawall,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1953,Scotland's climate targets are toughest in the world,"""Sturgeon signs climate agreement with California"".",NOT_ENOUGH_INFO,neutral,Scotland,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
211,"For decades, most scientists saw climate change as a distant prospect.","Catastrophic effects in 50–100 years would likely be observed according to 41%, while 44% thought the effects would be moderate and about 13 percent saw relatively little danger.",NOT_ENOUGH_INFO,neutral,Scientific consensus on climate change,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1794,Ben Santer could not have and did not single-handedly alter the 1995 IPCC report.,"This report had effects not only on the establishment of the United Nations Framework Convention on Climate Change (UNFCCC), but also on the first conference of the parties (COP), held in Berlin in 1995.",NOT_ENOUGH_INFO,neutral,IPCC First Assessment Report,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
785,"In many other cases, though — hurricanes, for example — the linkage to global warming for particular trends is uncertain or disputed.","Although there are a few areas of linkage, the relationship between the two is weak.",NOT_ENOUGH_INFO,neutral,Global warming,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1040,"While evidence that the earth’s orbital variations impact radiation levels and thus global temperatures does not of course mean that man is not in some way impacting the climate, studies like these highlight that the role man plays on the planet is dwarfed by natural phenomena utterly out of our control.",Physical evidence shows that the variation in Earth's climate is much more extreme than the variation in the intensity of solar radiation calculated as the Earth's orbit evolves.,NOT_ENOUGH_INFO,neutral,Milankovitch cycles,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
452,"“So the bottom line of all this is that climate change is natural, not man-made.",(2012) stated that a combination of natural weather variability and human-induced global warming was responsible for the Moscow and Texas heat waves.,NOT_ENOUGH_INFO,neutral,Attribution of recent climate change,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
3102,...there [is] anecdotal and other evidence suggesting similar melts from 1938-43 and on other occasions.,SAC lead free solder melts at 217–220 °C.,NOT_ENOUGH_INFO,neutral,Soldering,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
539,"We note that the Earth has never in its history had a quasi-stable state that is around 2C warmer than the preindustrial and suggest that there is substantial risk that the system, itself, will ‘want’ to continue warming because of all of these other processes – even if we stop emissions,” she said.","Study author Katherine Richardson stresses, ""We note that the Earth has never in its history had a quasi-stable state that is around 2 °C warmer than the preindustrial and suggest that there is substantial risk that the system, itself, will ‘want’ to continue warming because of all of these other processes – even if we stop emissions.",SUPPORTS,entailment,Planetary boundaries,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
3059,Models and direct observations find that CFCs only contribute a fraction of the warming supplied by other greenhouse gases.,"The strength of CFC absorption bands and the unique susceptibility of the atmosphere at wavelengths where CFCs (indeed all covalent fluorine compounds) absorb creates a “super” greenhouse effect from CFCs and other unreactive fluorine-containing gases such as perfluorocarbons, HFCs, HCFCs, bromofluorocarbons, SF6, and NF3.",NOT_ENOUGH_INFO,neutral,Chlorofluorocarbon,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1219,Global warming is driving major melting on the surface of Greenland’s glaciers and is speeding up their travel into the sea.”,"Surface temperature increases are greatest in the Arctic, which has contributed to the retreat of glaciers, permafrost, and sea ice.",SUPPORTS,entailment,Global warming,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
200,"if we halved today’s atmospheric carbon dioxide content, all life would die.","Carbon dioxide in Earth's atmosphere is a trace gas, currently (mid 2018) having a global average concentration of 409 parts per million by volume (or 622 parts per million by mass).",NOT_ENOUGH_INFO,neutral,Carbon dioxide,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2323,Now scientists are telling us that Mars is experiencing its own planetary warming: Martian warming.,"Other scientists caution that these results have not been confirmed, and point out that Martian climate models have not yet shown that the planet was warm enough in the past to support bodies of liquid water.",NOT_ENOUGH_INFO,neutral,Mars,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
368,The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,"In 2018 the IPCC published a Special Report on Global Warming of 1.5 °C which warned that, if the current rate of greenhouse gas emissions is not mitigated, global warming is likely to reach 1.5 °C (2.7 °F) between 2030 and 2052, risking major crises.",NOT_ENOUGH_INFO,neutral,Global warming,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2710,[Wind energy] is a more expensive way of producing energy than the alternative.,"The modeling also shows that ""even without a carbon price (the most efficient way to reduce economy-wide emissions) wind energy is 14% cheaper than new coal and 18% cheaper than new gas.""",REFUTES,contradiction,Wind power,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2366,"Increased CO2 makes more water vapor, a greenhouse gas which amplifies warming","Increases in atmospheric concentrations of CO 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century.",NOT_ENOUGH_INFO,neutral,Carbon dioxide,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1325,"“The Lancet researchers found that about 0.5%—half a percent—of all deaths are associated with heat, not only from acute problems like heat stroke, but also increased mortality from cardiac events and dehydration.",The associated mortality rates of heatstroke is between 40-64%.,NOT_ENOUGH_INFO,neutral,Hyperthermia,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1818,HFCs (hydrofluorocarbons) are tens of thousands of times more polluting than carbon dioxide.,"They do not harm the ozone layer as much as the compounds they replace, but they do contribute to global warming, with thousands of times the warming potential of carbon dioxide.",SUPPORTS,entailment,Hydrofluorocarbon,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1171,"If Hillary would have fact-checked her example of sea level rise in Norfolk, Virginia, she would have found out that the experts already know this is mostly due to the land there sinking.","A study conducted between 1982 and 2010 found that some areas of Jakarta have been sinking by as much as 28 cm (11 inches) per year due to ground water drilling and the weight of its buildings, and the problem is now exacerbated by sea level rise.",NOT_ENOUGH_INFO,neutral,Sea level rise,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2293,"Steve McIntyre noticed a strange  discontinuity in US temperature data, occurring around January 2000.","In 2002, McIntyre became interested in climate science after a leaflet from the Canadian government warning of the dangers of global warming was delivered to his residence.",NOT_ENOUGH_INFO,neutral,Steve McIntyre,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2901,"Though CRU neglected to provide an exact list of temperature stations, it could not have hid or tampered with data.","DPA has two main objectives: To use data to provide knowledge in the most efficient manner possible (minimize noise, complexity, and unnecessary data or detail given each audience's needs and roles) To use data to provide knowledge in the most effective manner possible (provide relevant, timely and complete data to each audience member in a clear and understandable manner that conveys important meaning, is actionable and can affect understanding, behavior and decisions) With the above objectives in mind, the actual work of data presentation architecture consists of: Creating effective delivery mechanisms for each audience member depending on their role, tasks, locations and access to technology Defining important meaning (relevant knowledge) that is needed by each audience member in each context Determining the required periodicity of data updates (the currency of the data) Determining the right timing for data presentation (when and how often the user needs to see the data) Finding the right data (subject area, historical reach, breadth, level of detail, etc.)",NOT_ENOUGH_INFO,neutral,Data visualization,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2766,"The most interesting thing here is that the albedo forcings, in watts/sq meter seem to be fairly large.","Called the albedo of Earth, around 35 units are reflected back to space: 27 from the top of clouds, 2 from snow and ice-covered areas, and 6 by other parts of the atmosphere.",SUPPORTS,entailment,Earth's energy budget,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
473,"La Niñas, on the other hand, feature cooler than average waters in the Pacific","Water temperatures must be extremely high (near or above 30 °C, 86 °F), and water of this temperature must be sufficiently deep such that waves do not upwell cooler waters to the surface.",NOT_ENOUGH_INFO,neutral,Tropical cyclone,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
775,"Instead of negotiating over climate change policies and trying to make them more market-oriented, some political conservatives have taken the approach of blocking them by trying to undermine the science.",Some Conservative politicians such as Alan Duncan and Crispin Blunt take the libertarian approach that individual freedom and economic freedom of industry and trade should be respected.,NOT_ENOUGH_INFO,neutral,Conservative Party (UK),LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
342,"While members of the media may nod along to such claims [about changes in weather extremes], the evidence paints a different story","As noted, clear and compelling scientific evidence supports the case for a pronounced human influence on global climate.",NOT_ENOUGH_INFO,neutral,Attribution of recent climate change,LABEL_0,SUPPORTS,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
2895,"The latest  measurements involve the use of satellite gravimetry, estimating  the mass of terrain beneath by detecting slight changes in gravity as a  satellite passes overhead.","""Tests and combination of satellite determinations of the gravity field with gravimetry"".",NOT_ENOUGH_INFO,neutral,Gravity of Mars,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
692,"“We indicated 23 years ago — in our 1994 Nature article — that climate models had the atmosphere’s sensitivity to CO2 much too high,” Christy said in a statement.","The sensitivity of temperature to atmospheric gasses, most notably CO 2, is often expressed in terms of the change in temperature per doubling of the concentration of the gas.",SUPPORTS,entailment,Climate sensitivity,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
648,‘there will not be enough nitrogen available to sustain the high carbon uptake scenarios.’,"The net uptake of carbon dioxide, and therefore, the plant's potential for growth, must be positive for the plant to survive.",NOT_ENOUGH_INFO,neutral,Carnivorous plant,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
1866,"Climate scientists have predicted global temperatures would increase more than one degree Celsius by 2020,"" but observed temperatures have been only half as high.","In February 2020, the region recorded the highest temperature of 18.3 degree Celsius which was a degree higher than the previous record of 17.5 degrees in March 2015.",NOT_ENOUGH_INFO,neutral,Antarctica,LABEL_2,NOT_ENOUGH_INFO,0.7,0.40606060606060607,0.39999999999999997,0.45,amandakonet/climatebert-fact-checking,10.820793151855469,30
